arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	runtime	hop_count
mmap_blocking_touch	frames_250k_live.sbnd	cold	random	full	16384	1	320	320	4204903	141011	4335072	236826	79824810	409	17094	141138	37985	0	35075	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	random	full	16384	1	320	320	4404258	120234	4700384	244703	82542334	451	14464	145809	42538	0	27624	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	random	full	16384	1	320	320	632315	361174	1125212	361891	116238891	418	13774	63415	68313	80000000	278492	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	cold	random	full	16384	1	320	320	551605	350545	1106997	320063	102777755	414	12961	364341	64029	80000000	268689	0	0	0	multi	191
pread_nowait_chunked	frames_250k_live.sbnd	cold	random	full	16384	1	320	320	735291	76653	1465409	205489	66386659	411	19844	301562	37587	80000000	495083	0	0	0	multi	59
mmap_naive	frames_250k_live.sbnd	cold	random	full	16384	2	320	320	3911007	59887	4589320	178156	60774993	380	10900	4540618	40884	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	random	full	16384	2	320	320	4533269	59833	4583697	179623	61870736	399	10220	148031	46766	0	4326396	0	0	0	multi	11
mmap_blocking_touch	frames_250k_live.sbnd	cold	random	full	16384	2	320	320	4276066	174390	4716756	340716	113073056	526	18427	694253	40120	0	56383	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	random	full	16384	2	320	320	4102199	126090	4774859	250268	84019671	461	15063	110998	45699	0	29826	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	random	full	16384	2	320	320	586872	297045	988269	309812	99572925	318	10942	105495	89793	80000000	243979	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	cold	random	full	16384	2	320	320	502084	344220	1119417	304965	97949517	388	12920	361831	64145	80000000	234099	0	0	0	multi	191
pread_nowait_chunked	frames_250k_live.sbnd	cold	random	full	16384	2	320	320	762066	93480	1413129	221207	71425105	512	21700	298911	32013	80000000	485179	0	0	0	multi	58
mmap_naive	frames_250k_live.sbnd	cold	random	full	16384	3	320	320	3851068	60086	4153691	165059	56560485	448	10950	226538	33407	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	random	full	16384	3	320	320	3782260	61981	4266821	185806	63098999	409	11860	158686	43176	0	3698019	0	0	0	multi	11
mmap_blocking_touch	frames_250k_live.sbnd	cold	random	full	16384	3	320	320	4122946	137125	4049789	242591	81599784	378	14387	96088	49930	0	36542	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	random	full	16384	3	320	320	3950566	117432	4315180	218062	73591826	419	13798	112120	41555	0	27355	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	random	full	16384	3	320	320	680893	376770	1166084	382905	123008754	475	12591	566524	73962	80000000	304587	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	cold	random	full	16384	3	320	320	508207	342752	1219790	317745	102022248	317	12310	332644	78058	80000000	256367	0	0	0	multi	191
pread_nowait_chunked	frames_250k_live.sbnd	cold	random	full	16384	3	320	320	693142	65912	1262815	192155	62084967	401	13074	261867	37598	80000000	477106	0	0	0	multi	58
mmap_naive	frames_250k_live.sbnd	cold	random	full	16384	4	320	320	4009261	48032	4034282	163267	56136911	465	11832	4434963	28958	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	random	full	16384	4	320	320	4643036	54386	4857000	186398	64141714	374	10678	175598	51407	0	4445053	0	0	0	multi	11
mmap_blocking_touch	frames_250k_live.sbnd	cold	random	full	16384	4	320	320	4505918	123314	4738088	233804	79179178	355	12086	85089	56833	0	36238	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	random	full	16384	4	320	320	4279716	111532	4831551	248896	83756480	491	14459	118977	40253	0	27273	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	random	full	16384	4	320	320	4719775	341785	1146164	341845	113912311	329	11431	133819	92861	80000000	275118	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	cold	random	full	16384	4	320	320	469123	341170	1114484	303251	97330861	311	11682	356132	78459	80000000	266029	0	0	0	multi	191
pread_nowait_chunked	frames_250k_live.sbnd	cold	random	full	16384	4	320	320	610735	66670	1267823	191846	61915274	405	19327	357792	35202	80000000	506774	0	0	0	multi	58
mmap_naive	frames_250k_live.sbnd	cold	random	full	16384	5	320	320	3981068	51886	4654562	219315	73979853	465	12344	4221919	28645	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	random	full	16384	5	320	320	4429556	56244	4248424	166325	57521655	398	11369	147672	42046	0	4136791	0	0	0	multi	11
mmap_blocking_touch	frames_250k_live.sbnd	cold	random	full	16384	5	320	320	6085499	140678	4740087	251346	86359554	432	14606	994756	45874	0	36639	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	random	full	16384	5	320	320	4922143	118143	4286762	221076	75532674	413	13357	179265	43760	0	38363	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	random	full	16384	5	320	320	565319	347433	1122224	331516	106500722	385	13176	130252	68877	80000000	280547	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	cold	random	full	16384	5	320	320	627616	351322	1148838	309811	99591195	331	11604	435566	77986	80000000	266578	0	0	0	multi	191
pread_nowait_chunked	frames_250k_live.sbnd	cold	random	full	16384	5	320	320	798812	74714	1393954	207021	66937875	369	12042	274556	50030	80000000	549929	0	0	0	multi	59
mmap_naive	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	2833833	55678	3266607	227323	75391191	619	13725	69168	33545	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	2950103	52451	3174217	223864	74403904	410	11153	140038	53113	0	2967432	0	0	0	multi	19
mmap_blocking_touch	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	3211491	152478	2952610	322225	106103989	510	17860	136461	43600	0	42321	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	3041903	97350	3151293	312270	102747988	419	13855	443754	55534	0	25890	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	600715	359119	696460	369196	118548647	343	10902	205428	97786	80000000	289378	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	566574	395155	580846	403505	129419010	357	12780	192218	88540	80000000	256644	0	0	0	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	551235	434420	565599	431747	138441781	275	14745	116150	107325	80000000	251168	0	0	0	multi	320
mmap_naive	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	2981509	51373	2937834	207188	69119247	342	10086	2946497	55778	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	3194830	56287	3198933	228693	76187572	415	12372	134238	48267	0	2954103	0	0	0	multi	19
mmap_blocking_touch	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	6022596	133076	3055607	285181	97101223	394	14207	122992	56257	0	34951	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	3154289	102571	4009332	314727	103633009	425	12977	157913	60104	0	26307	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	664168	367242	768190	397228	127515469	485	14137	378354	64427	80000000	270984	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	438820	386459	763114	460892	147710374	334	14645	504050	93731	80000000	242245	0	0	0	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	566836	465366	738373	479846	153807952	302	17353	306077	110135	80000000	273802	0	0	0	multi	320
mmap_naive	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	3339780	62846	3229130	225765	75425717	577	12963	140118	33924	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	4654561	61257	3722374	251689	84993843	451	13348	115991	61451	0	3144058	0	0	0	multi	19
mmap_blocking_touch	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	3369458	149842	3474902	324768	107085751	472	16370	87568	52574	0	41172	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	3584404	95566	3779125	313325	103624871	474	16613	846963	53186	0	30485	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	480986	379430	730509	393225	126089726	380	13593	112920	87200	80000000	300251	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	385413	359564	542949	362158	116095145	343	12138	267615	84377	80000000	220023	0	0	0	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	807389	386205	551041	393764	126603689	356	26396	282539	70086	80000000	192864	0	0	0	multi	320
mmap_naive	frames_250k_live.sbnd	cold	reverse	full	16384	4	320	320	2979443	56179	3233365	225965	75115723	461	14831	2943535	39451	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	reverse	full	16384	4	320	320	2866322	53693	3293475	220599	73285077	447	12589	117003	46332	0	2893324	0	0	0	multi	19
mmap_blocking_touch	frames_250k_live.sbnd	cold	reverse	full	16384	4	320	320	2949162	154722	3572811	325153	106792020	481	14963	268822	54088	0	44470	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	reverse	full	16384	4	320	320	2913425	107083	3593391	309786	101831035	478	16071	228852	51836	0	27907	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	reverse	full	16384	4	320	320	706155	381145	691616	393087	126248725	305	11575	343052	112865	80000000	315188	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	cold	reverse	full	16384	4	320	320	522885	412804	761204	423099	135666253	361	13433	395809	93807	80000000	267973	0	0	0	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	4	320	320	691568	420992	576464	429584	137883965	259	14326	158326	122372	80000000	253893	0	0	0	multi	320
mmap_naive	frames_250k_live.sbnd	cold	reverse	full	16384	5	320	320	3795755	55828	3913527	253927	84844354	457	14428	3697322	48416	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	reverse	full	16384	5	320	320	3970599	61934	3605941	263954	88221343	442	13230	120438	56410	0	3142241	0	0	0	multi	19
mmap_blocking_touch	frames_250k_live.sbnd	cold	reverse	full	16384	5	320	320	2975770	166154	3395389	338358	111037641	521	18519	326657	45277	0	49380	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	reverse	full	16384	5	320	320	3140959	97963	3691663	308834	101761640	480	16955	291889	48545	0	30660	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	reverse	full	16384	5	320	320	634248	414724	823987	421779	135376699	387	15060	117340	83664	80000000	324297	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	cold	reverse	full	16384	5	320	320	406883	349806	518311	353388	113289818	456	14614	287829	59333	80000000	206402	0	0	0	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	5	320	320	598422	372795	542887	380331	122100684	358	27201	176213	67662	80000000	183900	0	0	0	multi	320
