label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight
size_65536	hybrid_lazyring	off	cold	stride	65536	500000	1	1	5	2	256	531706	845068	890873	145913	155309654	1648	9	0	0	99.6	0.000	0	0
size_65536	product	off	cold	stride	65536	500000	1	1	5	3	256	554229	743577	891344	142643	149482979	1713	9	0	0	99.6	0.000	1	1
size_65536	pool	off	cold	stride	65536	500000	1	1	6	0	256	410301	536313	641896	96292	108598172	2357	10	0	0	99.6	0.000	0	0
size_65536	hybrid_lazyring	off	cold	stride	65536	500000	1	1	6	1	256	404482	443589	495750	72820	104166075	2458	9	0	0	99.6	0.000	0	0
size_65536	product	off	cold	stride	65536	500000	1	1	6	2	256	411379	459218	518919	65017	106376876	2407	9	0	0	99.6	0.000	1	1
size_65536	product_ahead	off	cold	stride	65536	500000	1	1	6	3	256	186740	358658	501284	47878	52446651	4881	9	0	0	99.6	0.000	2	2
size_65536	hybrid_lazyring	off	cold	stride	65536	500000	1	1	7	0	256	557706	640951	740357	117773	141726284	1806	9	0	0	99.6	0.000	0	0
size_65536	product	off	cold	stride	65536	500000	1	1	7	1	256	615837	682728	783470	158155	158600226	1614	9	0	0	99.6	0.000	1	1
size_65536	product_ahead	off	cold	stride	65536	500000	1	1	7	2	256	219126	388043	459522	74475	59147450	4328	9	0	0	99.6	0.000	2	2
size_65536	pool	off	cold	stride	65536	500000	1	1	7	3	256	585008	904278	977960	225036	170336942	1503	10	0	0	99.6	0.000	0	0
size_65536	product	off	cold	stride	65536	500000	1	1	8	0	256	511258	796498	872092	122550	142575066	1796	9	0	0	99.6	0.000	1	1
size_65536	product_ahead	off	cold	stride	65536	500000	1	1	8	1	256	213789	439021	533128	82225	62360336	4105	9	0	0	99.6	0.000	2	2
size_65536	pool	off	cold	stride	65536	500000	1	1	8	2	256	500834	599042	636198	117304	128345685	1995	10	0	0	99.6	0.000	0	0
size_65536	hybrid_lazyring	off	cold	stride	65536	500000	1	1	8	3	256	554027	632153	2199181	128717	149976810	1707	9	0	0	99.6	0.000	0	0
size_65536	product_ahead	off	cold	stride	65536	500000	1	1	9	0	256	225893	454411	539374	92310	64058081	3996	9	0	0	99.6	0.000	2	2
size_65536	pool	off	cold	stride	65536	500000	1	1	9	1	256	490887	803937	922538	139163	134888063	1898	10	0	0	99.6	0.000	0	0
