arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_ns	threads_max	runtime	hop_count
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	6	320	320	832212	564649	773370	570708	183090353	327	40743	153051	87954	80000000	309715	0	0	0	263312848	6	multi	320
pread_nowait_escalate	frames_250k_live.sbnd	cold	reverse	full	16384	6	320	320	749040	525732	696591	527227	169092960	318	16492	160671	105162	80000000	372449	0	0	0	258355565	6	multi	320
pread_nowait	frames_250k_live.sbnd	cold	reverse	full	16384	6	320	320	571658	446601	684271	447481	143473387	313	17811	396036	75926	80000000	275764	0	0	0	206579905	6	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	reverse	full	16384	6	320	320	556446	473450	822672	498519	159760972	416	24901	380023	61652	80000000	367944	0	0	0	237947277	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	reverse	full	16384	6	320	320	4375141	169642	4349997	395263	130571769	398	19434	143076	58598	0	53911	0	0	0	191078709	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	7	320	320	631525	507053	790273	519020	166389151	317	33422	258577	74414	80000000	249092	0	0	0	233879850	6	multi	320
pread_nowait_escalate	frames_250k_live.sbnd	cold	reverse	full	16384	7	320	320	767720	526935	711301	522808	167709590	324	19002	224962	87042	80000000	370124	0	0	0	249735248	6	multi	320
pread_nowait	frames_250k_live.sbnd	cold	reverse	full	16384	7	320	320	594614	462866	646087	472685	151549392	327	18050	450450	75313	80000000	290650	0	0	0	219074370	6	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	reverse	full	16384	7	320	320	787439	482013	712398	494387	158670585	325	18419	145724	94649	80000000	374432	0	0	0	245152966	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	reverse	full	16384	7	320	320	5078596	148469	5248845	411963	136592614	353	24680	262150	52005	0	48256	0	0	0	186499216	6	multi	320
