# depth_read_bench · lab/fixtures/frames_16k_big/frames_16k_big.sbnd · asks=1024 size=16384 stride=250000 repeats=6 workers=4
arm	temp	depth	repeat	asks	p50_ns	p99_ns	wall_ns	cpu_ns	threads	resident_pct	asks_per_s	cpu_ns_per_ask
pool	warm	4	2	1024	1935	6526	994032	2664478	5	0.000	1030148	2602
uring	warm	4	2	1024	6357	37869	2410019	2626030	5	0.000	424893	2564
pool	warm	4	3	1024	1917	2714	1015733	2475203	5	0.000	1008139	2417
uring	warm	4	3	1024	15478	30336	4042222	4663398	5	0.000	253326	4554
hybrid	warm	4	3	1024	1834	2318	2164362	2176814	5	0.000	473119	2125
uring	warm	4	4	1024	15172	33134	4266320	4390600	5	0.000	240020	4287
hybrid	warm	4	4	1024	1837	2260	2109389	2118759	5	0.000	485449	2069
pool	warm	4	4	1024	1931	3006	1787735	2412777	5	0.000	572792	2356
hybrid	warm	4	5	1024	1696	2710	1975143	1987620	5	0.000	518443	1941
pool	warm	4	5	1024	1766	3006	822836	2216428	5	0.000	1244476	2164
uring	warm	4	5	1024	14322	31507	3887627	4464030	5	0.000	263400	4359
pool	warm	8	0	1024	1863	2817	869050	2337069	5	0.000	1178298	2282
uring	warm	8	0	1024	21166	50464	3070596	3416767	5	0.000	333486	3336
hybrid	warm	8	0	1024	1836	2371	2144484	2159672	5	0.000	477504	2109
uring	warm	8	1	1024	13492	43982	2450353	2502036	5	0.000	417899	2443
hybrid	warm	8	1	1024	1848	2307	2137632	2155921	5	0.000	479035	2105
pool	warm	8	1	1024	1936	4541	724639	2500238	5	0.000	1413117	2441
hybrid	warm	8	2	1024	1819	2412	2159479	2177266	5	0.000	474188	2126
pool	warm	8	2	1024	1960	2954	720436	2450218	5	0.000	1421362	2392
uring	warm	8	2	1024	21113	37347	3064364	3402512	5	0.000	334164	3322
pool	warm	8	3	1024	1958	3013	668366	2347253	5	0.000	1532095	2292
uring	warm	8	3	1024	21505	36740	2984775	3334798	5	0.000	343074	3256
hybrid	warm	8	3	1024	1865	2517	2171096	2189757	5	0.000	471651	2138
uring	warm	8	4	1024	21555	38393	2994730	3402283	5	0.000	341934	3322
hybrid	warm	8	4	1024	1838	2291	2096098	2105015	5	0.000	488527	2055
pool	warm	8	4	1024	1901	2707	960115	2381954	5	0.000	1066539	2326
hybrid	warm	8	5	1024	1652	2036	1930104	1944770	5	0.000	530541	1899
pool	warm	8	5	1024	1790	4626	698540	2271042	5	0.000	1465915	2217
uring	warm	8	5	1024	20628	36783	2963215	3302683	5	0.000	345571	3225
pool	warm	16	0	1024	2014	3018	729518	2559580	5	0.000	1403667	2499
