layout	temp	arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_ns	threads_max	runtime	hop_count
frame_major_prefix	warm	uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	43235	2757	25843	3891	1385356	275	17504	119452	2023	5242880	0	0	0	0	3371922	5	multi	0
frame_major_prefix	warm	pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	17380	2359	4310	2604	866472	2284	4874	35162	411	5242880	0	0	0	0	1034090	5	multi	0
frame_major_prefix	warm	pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	147505	32427	298533	45436	14726020	276	32718	345157	4019	5242880	29948	0	0	0	21753429	7	multi	320
frame_major_prefix	warm	uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	40187	2997	26179	4001	1422575	257	16174	132790	1550	5242880	0	0	0	0	3228662	5	multi	0
frame_major_prefix	warm	pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	15062	2459	21599	3152	1042168	256	16843	38083	1309	5242880	0	0	0	0	2500807	5	multi	0
frame_major_prefix	warm	pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	122757	46105	96202	46583	15091022	258	31533	105113	3956	5242880	29587	0	0	0	21270491	7	multi	320
frame_major_prefix	warm	uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	14960	2350	8737	2795	997429	338	18947	53483	840	5242880	0	0	0	0	2727911	5	multi	0
frame_major_prefix	warm	pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	6	320	320	39106	3043	25440	4644	1547328	255	16955	54271	2120	5242880	0	0	0	0	3311556	5	multi	0
frame_major_prefix	warm	pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	6	320	320	166259	45432	79265	45145	14675812	385	36592	105313	1806	5242880	29414	0	0	0	20226319	6	multi	320
frame_major_prefix	warm	uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	6	320	320	20421	2222	17580	2632	971294	266	15934	62057	894	5242880	0	0	0	0	2666364	5	multi	0
frame_major_prefix	warm	pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	7	320	320	47312	2514	21800	3389	1150872	266	17392	48514	1249	5242880	0	0	0	0	2521354	5	multi	0
frame_major_prefix	warm	pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	7	320	320	87807	33387	85770	39243	12690915	357	37161	123436	1582	5242880	29642	0	0	0	17495691	6	multi	320
frame_major_prefix	warm	uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	7	320	320	34667	2733	20838	3541	1254416	260	15558	101906	1673	5242880	0	0	0	0	3062348	5	multi	0
frame_major_prefix	warm	pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	8	320	320	34035	2121	19922	2714	920518	255	15248	35516	1026	5242880	0	0	0	0	2074051	5	multi	0
frame_major_prefix	warm	pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	8	320	320	113595	45507	95894	46009	14913037	342	35583	76432	1785	5242880	29253	0	0	0	20329331	6	multi	320
frame_major_prefix	warm	uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	8	320	320	38533	2972	21286	4142	1461334	272	18047	117271	1389	5242880	0	0	0	0	3439594	5	multi	0
frame_major_prefix	warm	pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	9	320	320	39507	1980	26092	2632	902837	260	15643	41433	1117	5242880	0	0	0	0	2109834	5	multi	0
frame_major_prefix	warm	pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	9	320	320	123740	44813	95254	44741	14501314	257	30555	91657	3827	5242880	28915	0	0	0	20293950	7	multi	320
frame_major_prefix	warm	uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	9	320	320	35299	2957	25761	4125	1487957	258	17304	150905	2167	5242880	0	0	0	0	3368219	5	multi	0
rung_major_stripe	warm	pread_nowait_chunked	frames_16k_big.sbnd	warm	stripe_320	full	16384	1	5120	320	24105	4152	27381	4995	1642216	256	17006	58330	1905	5242880	0	0	0	0	4171150	5	multi	0
rung_major_stripe	warm	pread_blocking_pooled	frames_16k_big.sbnd	warm	stripe_320	full	16384	1	5120	320	147259	45632	81466	45763	14853971	259	30423	135200	3801	5242880	29544	0	0	0	21402335	6	multi	320
rung_major_stripe	warm	uring_nowait_hybrid	frames_16k_big.sbnd	warm	stripe_320	full	16384	1	5120	320	10357	2933	20792	3586	1252402	253	16140	33115	1465	5242880	0	0	0	0	3227513	5	multi	0
rung_major_stripe	warm	pread_nowait_chunked	frames_16k_big.sbnd	warm	stripe_320	full	16384	2	5120	320	41886	3733	26566	5095	1690914	257	18152	43116	1990	5242880	0	0	0	0	3520597	5	multi	0
rung_major_stripe	warm	pread_blocking_pooled	frames_16k_big.sbnd	warm	stripe_320	full	16384	2	5120	320	106667	45597	89941	45665	14780600	270	31079	118742	2893	5242880	29147	0	0	0	20963608	7	multi	320
rung_major_stripe	warm	uring_nowait_hybrid	frames_16k_big.sbnd	warm	stripe_320	full	16384	2	5120	320	39326	3585	27425	4196	1479749	259	17387	126390	1716	5242880	0	0	0	0	3554577	5	multi	0
rung_major_stripe	warm	pread_nowait_chunked	frames_16k_big.sbnd	warm	stripe_320	full	16384	3	5120	320	46764	3580	27558	6946	2293011	440	21911	56560	936	5242880	0	0	0	0	4070415	5	multi	0
rung_major_stripe	warm	pread_blocking_pooled	frames_16k_big.sbnd	warm	stripe_320	full	16384	3	5120	320	88555	33742	92896	35726	11578561	520	33921	82216	1511	5242880	30781	0	0	0	17214679	6	multi	320
rung_major_stripe	warm	uring_nowait_hybrid	frames_16k_big.sbnd	warm	stripe_320	full	16384	3	5120	320	44047	2692	23880	4138	1465881	265	20274	119677	1109	5242880	0	0	0	0	3160094	5	multi	0
rung_major_stripe	warm	pread_nowait_chunked	frames_16k_big.sbnd	warm	stripe_320	full	16384	4	5120	320	21294	2362	6408	2627	878185	293	15208	23208	881	5242880	0	0	0	0	2158517	5	multi	0
rung_major_stripe	warm	pread_blocking_pooled	frames_16k_big.sbnd	warm	stripe_320	full	16384	4	5120	320	127358	45430	92903	46238	14993102	274	31924	369668	2489	5242880	29131	0	0	0	20671640	6	multi	320
rung_major_stripe	warm	uring_nowait_hybrid	frames_16k_big.sbnd	warm	stripe_320	full	16384	4	5120	320	39206	3885	28706	6957	2371743	256	19136	123611	1908	5242880	0	0	0	0	4322039	5	multi	0
rung_major_stripe	warm	pread_nowait_chunked	frames_16k_big.sbnd	warm	stripe_320	full	16384	5	5120	320	10205	3164	19155	3602	1179235	260	17672	23111	1343	5242880	0	0	0	0	2813961	5	multi	0
rung_major_stripe	warm	pread_blocking_pooled	frames_16k_big.sbnd	warm	stripe_320	full	16384	5	5120	320	111780	32352	81679	37653	12203972	301	33054	73606	1771	5242880	29590	0	0	0	16931929	6	multi	320
rung_major_stripe	warm	uring_nowait_hybrid	frames_16k_big.sbnd	warm	stripe_320	full	16384	5	5120	320	15449	2328	24415	3591	1234622	2003	22404	85324	611	5242880	0	0	0	0	2035439	5	multi	0
rung_major_stripe	warm	pread_nowait_chunked	frames_16k_big.sbnd	warm	stripe_320	full	16384	6	5120	320	12672	2255	3154	2463	816863	2242	3284	45807	395	5242880	0	0	0	0	974815	5	multi	0
rung_major_stripe	warm	pread_blocking_pooled	frames_16k_big.sbnd	warm	stripe_320	full	16384	6	5120	320	100397	45451	83614	43040	13948058	271	33111	79651	2610	5242880	29248	0	0	0	19842563	7	multi	320
rung_major_stripe	warm	uring_nowait_hybrid	frames_16k_big.sbnd	warm	stripe_320	full	16384	6	5120	320	25387	2311	22170	3626	1289467	263	19780	111289	957	5242880	0	0	0	0	2794195	5	multi	0
rung_major_stripe	warm	pread_nowait_chunked	frames_16k_big.sbnd	warm	stripe_320	full	16384	7	5120	320	18490	3201	27622	4497	1474579	1084	25298	80861	434	5242880	0	0	0	0	2366918	5	multi	0
rung_major_stripe	warm	pread_blocking_pooled	frames_16k_big.sbnd	warm	stripe_320	full	16384	7	5120	320	92131	40630	75923	41123	13306694	290	35187	90001	2004	5242880	29445	0	0	0	18413904	6	multi	320
rung_major_stripe	warm	uring_nowait_hybrid	frames_16k_big.sbnd	warm	stripe_320	full	16384	7	5120	320	14604	2229	23420	2765	986422	260	18462	38248	1285	5242880	0	0	0	0	2649409	5	multi	0
rung_major_stripe	warm	pread_nowait_chunked	frames_16k_big.sbnd	warm	stripe_320	full	16384	8	5120	320	27940	16757	40170	11308	3679455	300	18668	43363	757	5242880	0	0	0	0	4838827	5	multi	0
rung_major_stripe	warm	pread_blocking_pooled	frames_16k_big.sbnd	warm	stripe_320	full	16384	8	5120	320	107043	45499	88619	44204	14315608	286	38123	98291	2110	5242880	29641	0	0	0	20006997	6	multi	320
rung_major_stripe	warm	uring_nowait_hybrid	frames_16k_big.sbnd	warm	stripe_320	full	16384	8	5120	320	19325	3523	25271	4568	1579062	257	14940	34526	2183	5242880	0	0	0	0	3830054	5	multi	0
rung_major_stripe	warm	pread_nowait_chunked	frames_16k_big.sbnd	warm	stripe_320	full	16384	9	5120	320	17588	2612	20324	3055	1012654	258	15022	23587	1237	5242880	0	0	0	0	2399959	5	multi	0
rung_major_stripe	warm	pread_blocking_pooled	frames_16k_big.sbnd	warm	stripe_320	full	16384	9	5120	320	3159034	45444	83546	43768	17227313	496	31143	106540	4275	5242880	29898	0	0	0	23758309	6	multi	320
rung_major_stripe	warm	uring_nowait_hybrid	frames_16k_big.sbnd	warm	stripe_320	full	16384	9	5120	320	25803	2633	24286	3484	1227005	260	16211	93188	1252	5242880	0	0	0	0	3027593	5	multi	0
