arm	fixture	rtt_ms	depth	run	mbps	p95_wait_ms	peak_outstanding	asks_sent
S	frames_32k	60	1	2	0.922	0.00	1	19
S	frames_32k	60	1	3	0.922	0.00	1	19
S	frames_32k	60	2	1	2.151	0.00	2	44
S	frames_32k	60	2	2	2.099	0.00	2	43
S	frames_32k	60	2	3	2.151	0.00	2	44
S	frames_32k	60	3	1	3.277	0.00	3	67
S	frames_32k	60	3	2	3.328	0.00	3	68
S	frames_32k	60	3	3	3.328	0.00	3	68
S	frames_32k	60	4	1	4.455	0.00	4	91
S	frames_32k	60	4	2	4.353	0.00	4	89
S	frames_32k	60	4	3	4.353	0.00	4	89
S	frames_32k	60	6	1	6.554	0.00	6	134
S	frames_32k	60	6	2	6.401	0.00	6	131
S	frames_32k	60	6	3	6.452	0.00	6	132
S	frames_32k	60	8	1	7.937	0.00	8	163
S	frames_32k	60	8	2	7.886	0.00	8	162
S	frames_32k	60	8	3	7.886	0.00	8	162
S	frames_32k	60	12	1	7.937	0.00	12	167
S	frames_32k	60	12	2	7.886	0.00	12	166
S	frames_32k	60	12	3	7.937	0.00	12	167
S	frames_32k	60	16	1	7.937	0.00	16	171
S	frames_32k	60	16	2	7.630	0.00	16	165
S	frames_32k	60	16	3	7.835	0.00	16	169
P	frames_32k	60	1	1	0.922	0.00	1	19
P	frames_32k	60	1	2	0.871	0.00	1	18
P	frames_32k	60	1	3	0.871	0.00	1	18
P	frames_32k	60	2	1	1.536	0.00	2	32
P	frames_32k	60	2	2	1.587	0.00	2	33
P	frames_32k	60	2	3	2.099	0.00	2	43
P	frames_32k	60	3	1	2.458	0.00	3	51
P	frames_32k	60	3	2	2.970	0.00	3	61
P	frames_32k	60	3	3	2.765	0.00	3	57
P	frames_32k	60	4	1	3.994	0.00	4	82
P	frames_32k	60	4	2	3.892	0.00	4	80
P	frames_32k	60	4	3	3.994	0.00	4	82
P	frames_32k	60	6	1	5.684	0.00	6	117
P	frames_32k	60	6	2	5.172	0.00	6	107
P	frames_32k	60	6	3	5.172	0.00	6	107
P	frames_32k	60	8	1	6.094	0.00	8	127
P	frames_32k	60	8	2	6.350	0.00	8	132
P	frames_32k	60	8	3	6.657	0.00	8	138
P	frames_32k	60	12	1	7.015	0.00	12	149
P	frames_32k	60	12	2	7.118	0.00	12	151
P	frames_32k	60	12	3	6.964	0.00	12	148
P	frames_32k	60	16	1	7.630	0.00	16	165
P	frames_32k	60	16	2	7.169	0.00	16	155
P	frames_32k	60	16	3	7.374	0.00	16	160
Q	frames_32k	60	1	1	0.922	0.00	1	19
Q	frames_32k	60	1	2	0.922	0.00	1	19
Q	frames_32k	60	1	3	0.871	0.00	1	18
Q	frames_32k	60	2	1	2.202	0.00	2	45
Q	frames_32k	60	2	2	2.151	0.00	2	44
Q	frames_32k	60	2	3	2.099	0.00	2	43
Q	frames_32k	60	3	1	3.328	0.00	3	68
Q	frames_32k	60	3	2	3.328	0.00	3	68
Q	frames_32k	60	3	3	3.328	0.00	3	68
Q	frames_32k	60	4	1	4.404	0.00	4	90
